NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT03630471,Effectiveness of a Problem-solving Intervention for Common Adolescent Mental Health Problems in India,https://beta.clinicaltrials.gov/study/NCT03630471,PRIDE,COMPLETED,"We will conduct a two-arm individually randomized controlled trial in six Government-run secondary schools in New Delhi. The targeted sample is 240 adolescents in grades 9-12 with persistent, elevated mental health difficulties and associated impact. Participants will receive either a brief problem-solving intervention delivered by lay counsellors (intervention), or enhanced usual care comprised of problem-solving booklets (control). Self-reported adolescent mental health difficulties and idiographic problems will be assessed at 6 weeks (co-primary outcomes) and again at 12 weeks post-randomization. In addition, adolescent-reported impact of mental health difficulties, perceived stress, mental wellbeing and clinical remission, as well as parent-reported adolescent mental health difficulties and impact scores, will be assessed at 6 and 12 weeks post-randomization. Parallel process evaluation, including estimations of the costs of delivering the interventions, will be conducted.",NO,"Mental Health Issue (E.G., Depression, Psychosis, Personality Disorder, Substance Abuse)",BEHAVIORAL: PRIDE 'Step 1' problem-solving intervention|BEHAVIORAL: Enhanced usual care,"Mental health symptoms, The Strengths and Difficulties Questionnaire (SDQ) is a 25-item self-report measure of youth mental health symptoms (Goodman et al., 2000). A Total Difficulties score is derived by summing items from four problem subscales (Emotional, Conduct, Hyperactivity/inattention and Peer problems). The measure is the most widely used clinical and research instrument in the field of child and adolescent mental health globally. The Hindi version will be used in complementary forms for self-report by adolescents and parents. The adolescent-reported SDQ Total Difficulties score (at 6-week end-point) will be a co-primary outcome, while the corresponding caregiver-reported SDQ Total Difficulties score will be an exploratory outcome., 6 weeks|Idiographic problems, The Youth Top Problems (YTP) is a brief, idiographic measure which identifies, prioritizes and scores respondents' three main problems (Weisz et al., 2011). Each nominated problem is scored from 0 ('not a problem') to 10 ('huge problem'). A mean severity score is calculated by summing individual problem scores and then dividing by the number of nominated problems. The YTP will be used to assess problems that other scales might address generally or otherwise miss; while providing a sensitive measure of specific priorities of the participant within a larger array of problems., 6 weeks","Mental health symptoms, The adolescent-reported SDQ Total Difficulties score at 12 weeks will be a secondary outcome, while the corresponding caregiver-reported SDQ Total Difficulties score will be an exploratory outcome., 12 weeks post-randomization|Idiographic problems, The adolescent-reported YTP severity score at 12 weeks will be a secondary outcome., 12 weeks post-randomization|Impact of mental health problems, The SDQ Impact Supplement measures distress and functional impairment associated with index mental health problems identified on the main SDQ scale. The adolescent-reported SDQ Impact Supplement score will be a secondary outcome, while the corresponding caregiver-reported SDQ Impact Supplement score will be an exploratory outcome., 12 weeks post-randomization|Internalising symptoms, Adolescent-reported internalising symptoms will be assessed as a secondary outcome using the combined peer and emotional problem sub-scales of the SDQ. The corresponding caregiver-reported SDQ Internalising score will be an exploratory outcome., 12 weeks post-randomization|Externalising symptoms, Adolescent-reported externalising symptoms will be assessed as a secondary outcome using the combined conduct and hyperactivity problem sub-scales of the SDQ. The corresponding caregiver-reported SDQ Externalising score will be an exploratory outcome., 12 weeks post-randomization|Prosocial behaviour, Adolescent-reported prosocial behaviour will be assessed as an exploratory outcome using the prosocial sub-scale of the SDQ., 12 weeks post-randomization|Perceived stress, The adolescent-reported Perceived Stress Scale-4-item version (PSS-4) will be used as a secondary outcome measure to assess the perception of stress, reflecting the degree to which situations are appraised as stressful during the preceding month (Cohen et al., 1983). This measure was chosen because of its relevance as a presumed mechanism of change within the problem-solving intervention, consistent with stress-coping theory (Lazarus \& Folkman, 1984). It has been translated into Hindi and used in a number of surveys and as an outcome measure in trials around the world (Lee, 2012)., 12 weeks post-randomization|Mental wellbeing, The adolescent-reported Short Warwick-Edinburgh Mental Wellbeing Scale (SWEMWBS) will be used as a secondary measure to assess mental wellbeing (Stewart-Brown et al., 2009), which has been closely linked with social factors such as peer bullying and perception of school connectedness (Patalay \& Fitzsimons; 2016). It may therefore be especially amenable to problem-solving around common life difficulties encountered by school-going adolescents. The SWEMWBS is widely used internationally (Stewart-Brown, 2013) and a Hindi version is available., 12 weeks post-randomization|Clinical remission, This secondary outcome will be defined as falling below baseline eligibility cut-offs on both the SDQ Total Difficulties scale and Impact Supplement (i.e. SDQ Total Difficulties score in normal range and Impact score in the normal or borderline range)., 12 weeks post-randomization",,Sangath,Harvard Medical School (HMS and HSDM)|London School of Hygiene and Tropical Medicine,ALL,"CHILD, ADULT",NA,250,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",SANPRIDE_002,2018-08-20,2019-01-20,2019-02-28,2018-08-14,,2019-05-21,"Sangath, New Delhi, Delhi, 110016, India",Statistical Analysis Plan
NCT05843071,"PMCF Study to Evaluate Performance and Safety of ""NASAL SPRAYS "" Used to Relieve Nasal Congestion and Dryness",https://beta.clinicaltrials.gov/study/NCT05843071,,RECRUITING,"Acute viral upper respiratory tract infection, also known as common cold, is the most frequently observed infectious disease in human beings. Although common cold is a self-limiting disease, symptoms such as runny nose, nasal congestion, sneezing, cough, sore throat, are troublesome.

Dry nose is characterized by nasal mucosa dryness, itching, mild burning, crusting, and dehydrated mucus. Causes of dry nose sensation include climatic factors, dry room air, workplace conditions, allergic rhinitis, endonasal sinus surgery.

Dry nose symptoms occur concurrently and may be the first signs of a common cold infection and rhinitis sicca (also known atrophic rhinitis).

Saline nasal sprays are broadly used as first-line treatment to relieve nasal congestion or nasal dryness. Isotonic saline solutions preferentially aim at cleansing and moistening of the nasal mucosa and thus are suitable for treatment of dry nose symptoms. Hypertonic saline solutions are generally used for decongestion of the nasal mucosa.

For these reasons, an interventional, non-comparative, single-center Post Marketing Clinical Follow-up (PMCF) study was planned to evaluate the performance and safety of ""NASAL SPRAYS"" used to relieve nasal congestion and dryness.

The objectives of the PMCF study are confirmation of the performance, collection of additional safety data regarding expected adverse events and detection of potential unexpected adverse events associated with the use of ""NASAL SPRAYS"" according to the instruction for use (IFU).

Each pediatric subject whose parent(s)/legal guardian signed an Informed Consent Form (ICF), and each adult subject after signing the ICF, will enter the screening and baseline phase (the 2 visits will coincide) during which baseline procedures will be completed.

At baseline visit (V0), one of the ""NASAL SPRAYS"" will be administered to the enrolled subject.

The patient will perform 2 on-site visits: V0 and V2/EOS. To monitor the safety, 1 phone contact is planned (V1) to check for potential adverse events and concomitant medications intake.

The first administration and the intervals at which the treatment should be repeated, to be done as per Investigator judgment and according to the IFU, depend on various factors regarding the physiology of the patients (e.g. nasal congestion/ obstruction, sneezing), the age of the patient, and for pediatric subjects, their birth characteristics (e.g. age, prematurity, birthweight).",NO,Nasal Congestion|Nasal Dryness,DEVICE: Nasal sprays with sea salts,"Change in nasal symptoms:To evaluate the performance of the ""NASAL SPRAYS"" used to relieve nasal congestion and dryness, through Visual Analogue Scale (VAS) for assessment of nasal symptoms, Visual Analogue Scale:

Minimum value = 0; Maximum value = 10; Higher scores mean a better outcome., From baseline (V0 = Day 0) to 10 days (EOS/V2 - Day 10 ± 1)","To evaluate the safety and tolerability of the ""NASAL SPRAYS"" through visual nasal examination and assessment of AEs including the relationship of the AE to the IP (e.g. local allergic reaction), End of study visit (EOS/V2 - Day 10 ± 1)|Change in Quality of life: to evaluate the capability of the ""NASAL SPRAYS"" to improve the (QoL), through Visual Analogue Scale (VAS) for assessment of QoL, Visual Analogue Scale:

Minimum value = 0; Maximum value = 10; Higher scores mean a better outcome., End of study visit (EOS/V2 - Day 10 ± 1)|To evaluate the parent(s), children or adults' satisfaction of the ""NASAL SPRAYS"" through a 5-points Likert scale, End of study visit (EOS/V2 = Day 10 ± 1)",,C.O.C. Farmaceutici S.r.l.,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,105,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,COC-R8-NS,2022-09-01,2023-06-15,2023-06-15,2023-05-06,,2023-05-06,"U.O.C otorinolaringoiatria, Policlinico Mater Domini, Catanzaro, CZ, 88100, Italy",
NCT01125371,Computerized Brief Alcohol Intervention (BI) for Binge Drinking HIV At-Risk and Infected Women,https://beta.clinicaltrials.gov/study/NCT01125371,,COMPLETED,"African American (AA) women are disproportionately affected by HIV/AIDs. The major risk factor for HIV acquisition among AA women is high-risk heterosexual sex, including unprotected vaginal and anal sex, and sex with a high-risk partner. Hazardous alcohol use has been associated with high risk sexual behaviors and prevalent gonorrhea among women attending an urban STI clinic, both of which increase a woman's vulnerability to HIV acquisition and transmission. This application proposes a randomized controlled trial (RCT) of a culturally tailored computer-directed brief alcohol intervention (CBI) enhanced with cell-phone booster calls using interactive voice response technology (IVR) and text messages among HIV-infected and at-risk AA women attending an urban STI Clinic. Hazardous drinking AA women (N=450) presenting with STI complaints will be randomized to one of three arms: 1) usual clinical care, 2) clinic-based, CBI, or 3) clinic-based, CBI + 3 booster calls using IVR and text messages. The CBI, an evidence-based based method for behavior change, will use principles of motivational interviewing, to counsel on: 1) alcohol use and 2) associated HIV/STI risk behaviors. Primary outcomes, measured at 3, 6, and 12 month intervals, include alcohol-related risk behaviors (number of binge drinking episodes, drinking days/week, and drinks per occasion), sexual risk behaviors (number of partners, episodes of unprotected vaginal/anal sex, episodes of sex while high), and occurrence of HIV/STI biomarkers. Prior to implementing the RCT, the CBI and IVR software messages will be revised to: 1) include the association between hazardous alcohol use and risky sexual behaviors, and 2) ensure their relevance and acceptability using quantitative/qualitative feedback from a sample of AA women attending a Baltimore City STI clinic. The proposed research focuses on a particularly vulnerable population of urban HIV at-risk and HIV-infected AA women seeking treatment in a public STI clinic and examines two novel BI intervention delivery strategies specifically tailored to be culturally/socially relevant to this minority population. If the intervention(s) prove to be effective, study findings will offer ""real life"" specialty care clinics a screening and intervention package that is practical, low cost, and easy to implement.",YES,Alcohol; Harmful Use|Binge Drinking|Risk Behavior|HIV Infection,BEHAVIORAL: Computerized brief alcohol intervention + IVR booster calls|BEHAVIORAL: Computerized brief alcohol intervention|BEHAVIORAL: Attention Control,"Change in Alcohol Use (Heavy Drinking Days), Change in alcohol-related risk behavior as assessed by the number of heavy drinking days., Baseline, 3, 6, and 12 months|Change in Alcohol Use (Drinking Days), Change in alcohol-related risk behavior as assessed by the number of drinking days., Baseline, 3, 6, and 12 months|Change in Alcohol Use (Drinks Per Drinking Day), Change in alcohol-related risk behavior as assessed by the standard drinks per drinking day., Baseline, 3, 6, and 12 months|Change in Alcohol Use (Drinks Per Week), Change in alcohol-related risk behavior as assessed by the standard drinks per week., Baseline, 3, 6, and 12 months",,,Johns Hopkins University,National Institute on Alcohol Abuse and Alcoholism (NIAAA),FEMALE,"ADULT, OLDER_ADULT",NA,439,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",NIAAAGC018632|R01AA018632,2011-10,2016-06-07,2016-06-07,2010-05-18,2022-06-01,2022-06-24,"Baltimore City Health Department STD Clinic, Baltimore, Maryland, 21205, United States",Study Protocol and Statistical Analysis Plan
NCT02554071,Manitoba Pharmacist Initiated Smoking Cessation Pilot Project,https://beta.clinicaltrials.gov/study/NCT02554071,,COMPLETED,A single arm pilot study conducted to assess the feasibility of having Manitoba Pharmacists provide support (product and cognitive) to low-income (receiving social assistance) smokers wishing to quit smoking.,NO,Smoking Cessation,OTHER: Pharmacist - Smoking Cessation Support,"Smoking Cessation Assessment, Self-reported Smoking Cessation on Standardized Form, 6 months","Smoking Cessation Assessment, Self-reported Smoking Cessation on Standardized Form, 1 month|Smoking Cessation Assessment, Self-reported Smoking Cessation on Standardized Form, 3 months|Smoking Cessation Product, Smoking Cessation Product Used and Cost, 3 months|Quit Diary, Record of Continued Smoking and Symptoms, 6 months","Cigarettes Smoked, # of cigarettes smoked, day 0, 1 month, 3 months and 6 months|Pharmacist Time, Time spent by pharmacists in counselling patients, 6 months",University of Manitoba,Govenment of Manitoba|Canadian Foundation for Pharmacy|Neighbourhood Pharmacy Association of Canada,ALL,"ADULT, OLDER_ADULT",PHASE4,119,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,H2013:459,2014-01,2014-11,2014-11,2015-09-18,,2015-09-18,"College of Pharmacy, University of Manitoba, Winnipeg, Manitoba, R6M 1L4, Canada",
NCT02633371,A Pilot Study Exploring the Efficacy and Safety of Topical Oxybutynin 3% Gel for Primary Focal Hyperhidrosis in Adolescents and Young Adults,https://beta.clinicaltrials.gov/study/NCT02633371,,COMPLETED,"This is a single-center, prospective, open-label, outpatient pilot study evaluating the efficacy and tolerability of oxybutynin gel for axillary hyperhidrosis.",YES,Hyperhidrosis,DRUG: Oxybutynin 3% gel,"Number of Patients With Improvement in Hyperhidrosis Severity at Week 1 or Week 4 as Measured by the Hyperhidrosis Disease Severity Scale (HDSS)., A treatment responder is defined as any participant with a change in the Hyperhidrosis Disease Severity Scale (HDSS) score from a baseline score of 3 or 4 to a score of 1 or 2 at week 1 or week 4., Week 1 and week 4",,,"University of Colorado, Denver",Society for Pediatric Dermatology,ALL,"CHILD, ADULT",NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,15-0847|UL1TR001082,2016-02,2016-06,2017-05,2015-12-17,2018-03-12,2018-06-19,"Children's Hospital, Colorado, Aurora, Colorado, 80045, United States",
NCT03400371,Biology of Juvenile Myoclonic Epilepsy,https://beta.clinicaltrials.gov/study/NCT03400371,BIOJUME,RECRUITING,"The investigators are collecting genetic information through blood samples as well as clinical and EEG data from over 1000 people with Juvenile Myoclonic Epilepsy (JME) across the UK, Europe and North America. This study will draw on both existing and new samples from JME patients. These will be compared to anonymised data from samples for 2000 controls. The goal of this study is to find the genetic cause of JME. Finding the cause will help create better treatments for JME, as well as improve patient outcomes by allowing us to detect it earlier.",NO,Juvenile Myoclonic Epilepsy,OTHER: Blood draw|OTHER: Existing samples,"Genomewide DNA association study, Association between SNP marker and phenotype is measured using genomewide DNA markers, which enables us to test support for molecular networks that act on seizure susceptibility, Day 1","Quantitative EEG endophenotype, Brain network ictogenicity is measured using quantitative EEG data, Day 1",,King's College London,"King's College Hospital NHS Trust|Charles University, Czech Republic|Hopital Universitaire Robert-Debre|Vestre Viken Hospital Trust|The Hospital for Sick Children|Cardiff University|Odense University Hospital",ALL,"CHILD, ADULT",,1000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,199351|CIHR ID: MOP-142405,2017-07-13,2025-06-30,2026-06-30,2018-01-17,,2023-05-25,"Mount Sinai-Beth Israel Medical Center, New York, New York, 10003, United States|St Luke's Roosevelt Hospital, New York, New York, 10025, United States|Nationwide Children's Hospital, Columbus, Ohio, 43125, United States|Hospital for Sick Kids, Toronto, Ontario, M5G 0A4, Canada|Charles University, Praha, 116 36, Czechia|Danish National Epilepsy Centre, Dianalund, 4293, Denmark|Tallinn Children's Hospital, Tallin, 13419, Estonia|University Robert Debré, Paris, 75019, France|Commissione Genetica Lega Italiana contro l'Epilepssia, Roma, 00198, Italy|Vestre Viken Health Trust, Oslo, Drammen, 3004, Norway|Walton Centre for Neurology and Neurosurgery, Liverpool, L9 7LJ, United Kingdom|Royal London Hospital, London, E1 1BZ, United Kingdom|St Thomas' Hospital, London, SE1 9HT, United Kingdom|King's College Hospital NHS Trust, London, SE5 9RS, United Kingdom|Swansea University, Swansea, SA2 8PP, United Kingdom",
NCT00120471,Safety and Blood Levels of Tenofovir Disoproxil Fumarate in HIV Infected Pregnant Women and Their Babies,https://beta.clinicaltrials.gov/study/NCT00120471,,COMPLETED,"To prevent mother-to-child transmission (MTCT) of HIV in resource-limited countries, a simple yet effective treatment plan is needed. Tenofovir disoproxil fumarate (TDF) is an anti-HIV drug approved for use in the United States for the treatment of HIV infected adults. The purpose of this study is to determine the safety, tolerability, and blood levels of TDF in HIV infected pregnant women and their babies. The study will be conducted at sites in Malawi and Brazil.",NO,HIV Infections,DRUG: Tenofovir disoproxil fumarate|DRUG: Tenofovir disoproxil fumarate|DRUG: Tenofovir disoproxil fumarate,"Frequency of adverse events with a severity of Grade 3 or higher attributable to receipt of TDF, Throughout study|Maintenance of infant serum concentrations of TDF greater than 50 ng/ml, Through Week 1","Maternal HIV-1 RNA levels, At study entry, Days 5 to 7, and Week 6|Viral resistance to TDF in all HIV-1 infected infants, all of the corresponding mothers (transmitters), and a subset of mothers whose infants are not infected (nontransmitters). Analysis of TDF in mothers may include testing of breastmilk samples., Throughout study|HIV infection in infants, Throughout study|TDF concentration in amniotic fluid and breast milk, Through Week 1",,National Institute of Allergy and Infectious Diseases (NIAID),Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute on Drug Abuse (NIDA)|National Institute of Mental Health (NIMH),ALL,"ADULT, OLDER_ADULT",PHASE1,122,NIH,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,HPTN 057|10143,2006-11,2011-10,2011-12,2005-07-18,,2021-11-01,"Federal Univ. of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil|Hospital Nossa Senhora da Conceicao CRS, Porto Alegre, Rio Grande Do Sul, 91350-200, Brazil|Irmandade Santa Casa de Misericórdia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|HSE-Hospital dos Servidores do Estado CRS, Rio de Janeiro, 20221-903, Brazil|College of Med. JHU CRS, Blantyre, Malawi",
NCT04784871,Promoting Wellbeing: The Five Ways to All Intervention,https://beta.clinicaltrials.gov/study/NCT04784871,5WaysA,COMPLETED,"This project is funded by Stiftelsen Dam and is a cooperation between The Norwegian Council for Mental Health (NCMH) and PROMENTA research group at the University of Oslo. Low-cost and evidence-based health promoting public health tools are urgently needed in Norwegian municipalities, to meet both current and future challenges with mental health and wellbeing. The aim in this randomized controlled trail is to test if a shorter, 10 week web-based version (The Five Ways to All, ""5WaysA""), of an already established course (Five Ways to Wellbeing course), can promote wellbeing and mastery in the general population. The principal investigator will investigate to what extend the effects are short-term and long-term (i.e., 10 weeks, 18 weeks and 12 months after starting to receive the 5WaysA intervention).",NO,Wellbeing|Health Attitude|Quality of Life,BEHAVIORAL: 5waysA Intervention|BEHAVIORAL: 5waysA Active wait-list control|BEHAVIORAL: 5waysA Inactive wait-list control,"Wellbeing (Subjective wellbeing, global life satisfaction), Satisfaction With Life Scale (Diener, 2009) Scoring: 31 - 35 Extremely satisfied, 26 - 30 Satisfied, 21 - 25 Slightly satisfied, 20 Neutral,15 - 19 Slightly dissatisfied, 10 - 14 Dissatisfied and 5 - 9 Extremely dissatisfied, 12 months|Wellbeing (Psychological wellbeing, self-perceived success in different aspects of life), Flourishing Scale (Diener et. al 2009). Scores from 8 (lowest possible wellbeing) to 56 (highest possible wellbeing)., 12 months","Mastery, Pearlin and Schooler (1978). Scores from 7-49, the higher score the higher mastery., 12 months|Mental health (symptoms of depression and anxiety,), Hopkins Symptom Checklist-8 (HSCL-8). Scores from 0-32, the higher score the more symptoms (Tambs \& Røysamb, 2014), 12 months|Social life, Oslo Social Support Scale-3 (OSS-3) Scores: 3-14, where high levels represent high levels of social support, 12 months|Physical health, Two questions from 12-Item Short Form Survey (SF-12) Scores: 12-47, where higher scores mean poorer health, 12 months","Work participation, Single question, 12 months|Five ways to wellbeing- activities: connect, keep learning, take notice and give., Four questions with scores in a range from 0 to 10, the higher score the more engaged in the activity., 12 months|Five ways to wellbeing- activity: be active. Frequency, duration and intensity., Three single questions from The Norwegian County Survey. Frequency; scores range from 0 to 6 (the higher score the more often physical active). Intensity; scores from 0-3 (the higher score the higher intensity). Duration: Scores from 0-4 (the higher score the longer duration), 12 months|Basic feelings, Questions about feelings (happy, sad, irritated, lonely, engaged, calm, curious/interested). Scores rage from 0 to 10. 0 indicating not having the feeling at all, 10 indicating experience the feeling a lot., 12 months|Optimistic about the future, On single question. Score from 0 to 10, the higher score the more optimistic, 12 months",University of Oslo,Norwegian Institute of Public Health|Norwegian Council for Mental Health|The Dam Foundation,ALL,"ADULT, OLDER_ADULT",NA,970,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,461814,2021-03-04,2023-02-24,2023-02-24,2021-03-05,,2023-03-23,"Monica Beer Prydz, Asker, Norge, 1397, Norway",Study Protocol and Statistical Analysis Plan
NCT02383771,Reversal of the Anti-platelet Effects of Ticagrelor,https://beta.clinicaltrials.gov/study/NCT02383771,REVERSAL,COMPLETED,The purpose of this study is to determine the proportion of untreated donor platelets required to fully reverse the platelet inhibitory effects of ticagrelor and aspirin in healthy persons and patients with coronary artery disease undergoing percutaneous coronary intervention (PCI) and receiving ticagrelor.,NO,Coronary Artery Disease,DRUG: Ticagrelor|DRUG: Aspirin + Ticagrelor|DRUG: Control|DRUG: Aspirin + Ticagrelor,"Reversal of the platelet inhibitory effects of antiplatelet therapy in healthy volunteers, Proportion of untreated donor platelets required to fully reverse the platelet inhibitory effects of antiplatelet therapy, 7 days after randomization|Reversal of the platelet inhibitory effects of antiplatelet therapy in patients, Reversal of the platelet inhibitory effects of antiplatelet therapy Proportion of untreated donor platelets required to fully reverse the platelet inhibitory effects of antiplatelet therapy in patients with coronary artery disease undergoing percutaneous coronary intervention (PCI) and receiving ticagrelor, 7 days after percutaneous coronary intervention","Inhibition of platelet aggregation in response to AA or ADP, Inhibition of platelet aggregation (IPA) in response to 5μM ADP determined by light transmittance aggregometer (LTA) after 7-day ticagrelor administration, 7 days after randomization|Change of ADP-induced platelet aggregation in platelets saved in blood bank due to the saving time, How the ADP-induced platelet aggregation in platelets saved in blood bank changes due to the saving time, 5 days after fresh platelet collected and stored in blood bank",,The First Affiliated Hospital with Nanjing Medical University,National Natural Science Foundation of China,ALL,"ADULT, OLDER_ADULT",PHASE4,64,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,003,2015-03,2016-11,2016-12,2015-03-09,,2017-08-16,"First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, 210029, China",
NCT01897571,"Open-Label, Multicenter, Phase 1/2 Study of Tazemetostat (EZH2 Histone Methyl Transferase [HMT] Inhibitor) as a Single Agent in Subjects With Adv. Solid Tumors or With B-cell Lymphomas and Tazemetostat in Combination With Prednisolone in Subjects With DLBCL",https://beta.clinicaltrials.gov/study/NCT01897571,,COMPLETED,"This is a multicenter, open-label, Phase 1/2 study that is being conducted in two parts. The Phase 1 part (closed to accrual as of January 25, 2016) comprised dose escalation and expansion parts to establish the MTD and/or the recommended Phase 2 dose (RP2D) when tazemetostat was given BID (twice daily) orally on a continuous basis. Additionally, in separate cohorts in Phase 1, the effect of food on the bioavailability of tazemetostat as well as the drug-drug interaction (DDI) potential of tazemetostat were evaluated. The Phase 2 part was initiated once the MTD and /or RP2D was established. Phase 2 enrolls subjects with DLBCL (Cohorts 1-3 and 6) and FL (Cohorts 4 and 5) for the determination of efficacy and safety of tazemetostat monotherapy (Cohorts 1-5and of tazemetostat in combination with prednisolone (Cohort 6) with placement determined by centrally confirmed histology, cell of origin (COO), and EZH2 mutation status.",NO,B-cell Lymphomas (Phase 1)|Advanced Solid Tumors (Phase 1)|Diffuse Large B-cell Lymphoma (Phase 2)|Follicular Lymphoma (Phase 2)|Transformed Follicular Lymphoma|Primary Mediastinal Large B-Cell Lymphoma,DRUG: Tazemetostat,"Maximum tolerated dose (MTD) (Phase 1 only), To determine the maximum tolerated dose (MTD) and/or recommended Phase 2 dose (RP2D) of tazemetostat as a single agent administered orally twice daily (BID), continuously in 28-day cycles in subjects with advanced solid tumors or with relapsed and/or refractory B cell lymphomas, 28 day cycle of therapy|Objective response rate (ORR; complete response + partial response [CR + PR]) (Phase 2), To determine the objective response rate (ORR; complete response + partial response \[CR + PR\]) of tazemetostat in subjects with enhancer of zeste homolog 2 (EZH2) gene mutation positive or negative (wild-type) with histologically confirmed diffuse large B cell lymphoma (DLBCL) or follicular lymphoma (FL), with relapsed or refractory disease and the ORR of tazemetostat in combination with prednisolone in subjects with EZH2 wild-type DLBCL, Every 8 weeks or sooner, if clinically indicated, until documentation of disease.","The effect of a high fat meal on the bioavailability of tazemetostat (Phase 1), 28 day cycle of therapy|The effect of tazemetostat on exposure of midazolam, a CYP3A4 substrate, 28 day cycle of therapy|To assess the preliminary activity of tazemetostat (Phase 1), 28 day cycle of therapy|The effect of tazemetostat monotherapy and tazemetostat in combination with prednisolone on progression-free survival (PFS) (Phase 2), From date of enrollment until the date of first documented progression of disease, or date of death from any cause|The effect of tazemetostat monotherapy and tazemetostat in combination with prednisolone on duration of response (DOR) (Phase 2), From date of enrollment until the date of first documented progression of disease, or date of death from any cause|The effect of tazemetostat monotherapy on overall survival (Cohorts 4 and 5 only), From the date of first dose until the date of death from any cause.|The safety and tolerability of tazemetostat monotherapy and tazemetostat in combination with prenisolone (Phase 1 and Phase 2), 28 day cycle of therapy|The pharmacokinetic (PK) profile of tazemetostat monotherapy and tazemetostat in combination with prednisolone (Phase 1 and Phase 2), 28 day cycle of therapy",,"Epizyme, Inc.",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,420,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,E7438-G000-101,2013-06,2021-11-12,2021-11-15,2013-07-12,,2021-12-10,"Birmingham, Alabama, United States|Duarte, California, United States|Santa Barbara, California, United States|Aurora, Colorado, United States|Washington, District of Columbia, United States|Ocala, Florida, United States|Ann Arbor, Michigan, United States|New York, New York, United States|Houston, Texas, United States|San Antonio, Texas, United States|Arlington, Virginia, United States|Seattle, Washington, United States|Clayton, Australia|Geelong, Australia|Melbourne, Australia|Montreal, Canada|Toronto, Canada|Bordeaux, France|Caen, France|Creteil, France|Lille, France|Lyon, France|Marseille, France|Montpellier, France|Nantes, France|Paris, France|Pierre Benite, France|Rennes, France|Rouen, France|Villejuif Cedex, France|Gottingen, Germany|Muenster, Germany|Bologna, Italy|Napoli, Italy|Krakow, Poland|Lublin, Poland|Poznan, Poland|Warsaw, Poland|Taipei City, Taiwan|Chernivtsi, Ukraine|Dnipro, Ukraine|Ivano-Frankivs'k, Ukraine|Kharkiv, Ukraine|Kyiv, Ukraine|Mykolayiv, Ukraine|Uzhgorod, Ukraine|Zaporizhzhya, Ukraine|Zhytomyr, Ukraine|Glasgow, United Kingdom|London, United Kingdom|Manchester, United Kingdom|Southampton, United Kingdom",
